year,origin,destination,submissions
2017,Syrian Arab Rep.,France,4207
2017,Dem. Rep. of the Congo,Belgium,169
2017,Myanmar,USA,4661
2017,Eritrea,New Zealand,2
2017,Iran (Islamic Rep. of),UK,40
2017,Somalia,New Zealand,20
2017,Dem. Rep. of the Congo,Finland,180
2017,Syrian Arab Rep.,Malta,11
2017,Dem. Rep. of the Congo,Netherlands,182
2017,Dem. Rep. of the Congo,Norway,31
2017,Eritrea,Norway,8
2017,Eritrea,Portugal,1
2017,Sudan,UK,460
2017,Syrian Arab Rep.,Sweden,2875
2017,Iran (Islamic Rep. of),Australia,28
2017,Syrian Arab Rep.,Switzerland,1307
2017,Iraq,Finland,5
2017,Afghanistan,Norway,3
2017,Syrian Arab Rep.,UK,7072
2017,Dem. Rep. of the Congo,Canada,128
2017,Somalia,Australia,171
2017,Dem. Rep. of the Congo,New Zealand,3
2017,Iran (Islamic Rep. of),Luxembourg,1
2017,Syrian Arab Rep.,New Zealand,678
2017,Eritrea,USA,999
2017,Syrian Arab Rep.,Netherlands,2835
2017,Iraq,Italy,4
2017,Eritrea,Australia,386
2017,Eritrea,Finland,4
2017,Somalia,Portugal,1
2017,Syrian Arab Rep.,Australia,81
2017,Somalia,USA,1237
2017,Myanmar,Australia,315
2017,Syrian Arab Rep.,Iceland,21
2017,Iraq,France,25
2017,Iran (Islamic Rep. of),Sweden,5
2017,Syrian Arab Rep.,Germany,3652
2017,Sudan,Australia,43
2017,Iran (Islamic Rep. of),Norway,1
2017,Iran (Islamic Rep. of),Netherlands,3
2017,Dem. Rep. of the Congo,UK,263
2017,Dem. Rep. of the Congo,USA,9759
2017,Syrian Arab Rep.,Portugal,221
2017,Dem. Rep. of the Congo,Sweden,888
2017,Syrian Arab Rep.,Romania,48
2017,Iraq,Monaco,30
2017,Somalia,Canada,356
2017,Sudan,Finland,20
2017,Syrian Arab Rep.,Austria,253
2017,Afghanistan,Sweden,308
2017,Myanmar,Canada,102
2017,Eritrea,Netherlands,2
2017,Iraq,UK,650
2017,Bhutan,Australia,1
2017,Syrian Arab Rep.,Croatia,157
2017,Sudan,Canada,245
2017,Iran (Islamic Rep. of),Finland,1
2017,Iran (Islamic Rep. of),USA,627
2017,Eritrea,UK,42
2017,Somalia,Norway,9
2017,Syrian Arab Rep.,Spain,1369
2017,Iraq,New Zealand,53
2017,Somalia,Netherlands,7
2017,Afghanistan,France,2
2017,Syrian Arab Rep.,Belgium,1357
2017,Sudan,Sweden,177
2017,Myanmar,Rep. of Korea,42
2017,Sudan,Switzerland,9
2017,Iraq,USA,1698
2017,Bhutan,USA,138
2017,Syrian Arab Rep.,Italy,1062
2017,Iraq,Sweden,56
2017,Sudan,Germany,125
